CODIGO OEM	SLUG	APLICACIONES	EQUIVALENCIA 1	EQUIVALENCIA 2
28113-4D000	28113-4D000	FILTRO AIRE MOTOR KIA SEDONA 3.5L 3.8L 03-08	MK-9555	42086
ZJ01-13-Z40	ZJ01-13-Z40	FILTRO AIRE MOTOR MAZDA 3 1.6	MK-802150	
LF50-13-Z409A	LF50-13-Z409A	FILTRO AIRE MOTOR MAZDA 3 2.0L 04-13 - MAZDA 5 2.3L 06-10	MK-96431	
RF2A-13-Z40A	RF2A-13-Z40A	FILTRO AIRE MOTOR MAZDA 6 2.3L / HAIMA 7	MK-8922	NA-8922
B59513Z40	B59513Z40	FILTRO AIRE MOTOR MAZDA ALLEGRO 1.6L 1.8L - 323 F.I / FORD LASER 1.6L 1.8L	MK-5595	5595
G601-13-Z40	G601-13-Z40	FILTRO AIRE MOTOR MAZDA BT-50 2.6L 08-13	MK-96322	AK-96322
MD603629	MD603629	FILTRO AIRE MOTOR MITSUBISHI ECLIPSE - MF - MX - MS - ZX 2.0L / HYUNDAI ELANTRA 1.6L 92-94 09-12 GALLOPER 3.0L - H-1 06-07 - SONATA 2.0L 3.0L	MK-6362	46264
MR323075	MR323075	FILTRO AIRE MOTOR MITSUBISHI GALANT 2.5L - SPACE WAGON	MK-9021	47043
MD620508	MD620508	FILTRO AIRE MOTOR MITSUBISHI LANCER 1.3L 1.5L CB CK CARBURADO	MK-5505	47023
MD620737	MD620737	FILTRO AIRE MOTOR MITSUBISHI LANCER CB4 1.6L 1.8L FI 94-00 - MIRAGE 1.8L	MK-7630	46271
MR552951	MR552951	FILTRO AIRE MOTOR MITSUBISHI LANCER TOURING CK1 CK2 CS3 CS6 EVO - OUTLANDER  	MK-8208	46215
MD620472	MD620472	FILTRO AIRE MOTOR MITSUBISHI MONTERO 3.0L 92-93 - MONTERO DAKAR 3.0L 00-08 - MONTERO SPORT 3.0L 00-08 - L200 2.0L 96-98 - 300GT - DIAMANTE 	MK-7142	46057
MD404847	MD404847	FILTRO AIRE MOTOR MITSUBISHI MONTERO 3.5L 94-05 -MONTERO LIMITED 3.5L 01-05 3.8L 05-08	MK-9367	42369
MD620076	MD620076	FILTRO AIRE MOTOR MITSUBISHI PANEL L300 2.0L 2.4L 	MK-6389	46265
16546-73C10	16546-73C10	FILTRO AIRE MOTOR NISSAN SENTRA B13 B14 GA16DE - XTRAIL QR25DE - 300ZX	MK-6900	AK-6900
16546-V0100	16546-V0100	FILTRO AIRE MOTOR NISSAN SENTRA B14 B15 - ALTIMA 2.4L 2.5L  3.5L - QUEST - PATHFINDER 3.3L 3.5L - XTERRA 3.3L - XTRAIL - MURANO 3.5L - 350Z - 240SX / SUBARU IMPREZA 1.6L 2.0L - LEGACY 2.2L 2.5L - SVX	MK-4309	
16546-ED000	16546-ED000	FILTRO AIRE MOTOR NISSAN TIIDA 1.8 07-10	MK-35681	
16546-86G00	16546-86G00	FILTRO AIRE MOTOR NISSAN XTRAIL 2.5L 05-10 - PICK UP D21 - FRONTIER D22 GASOLINA	MK-6850	
16546-4BA1A	16546-4BA1A	FILTRO AIRE MOTOR NISSAN XTRAIL T32 2.5L - ROGUE 2.0L 2.5L / RENAULT KOLEOS	MK-50540	
7701 045 724	7701-045-724	FILTRO AIRE MOTOR RENAULT MEGANE 1.4L 00-05 1.6L 99-07 - LAGUNA 2.0L - CLIO 1.4L 96-00 1.6L 04-09 - SCENIC 2.0L - SYMBOL 1.4L 04-05 1.6L 05-11 - KANGOO 1.6L	MK-8964	WA6595
7701047655	7701047655	FILTRO AIRE MOTOR RENAULT SYMBOL 01-03 - LOGAN 1.6L 05-09 - KANGOO 1.4L 01-03 - SANDERO 1.6L 09-10	MK-9074	WA6697
7701-064-439	7701-064-439	FILTRO AIRE MOTOR RENAULT TWINGO 16V 2006 - 2009	MK-9937	WA9496
17801-31090	17801-31090	FILTRO AIRE MOTOR TOYOTA 4RUNNER 03-14 - FJ CRUISER - FORTUNER - KAVAK 1GRFE 	MK-9683	46888
17801-38050	17801-38050	FILTRO AIRE MOTOR TOYOTA 4RUNNER 09-18 - TACOMA 2012-2020 - PRADO - HILUX REVO - FORTUNER DUBAI	MK-12587	143-3025
17801-0P051	17801-0P051	FILTRO AIRE MOTOR TOYOTA 4RUNNER 2.4L T24 - CAMRY 3.5L 2GRFE - TACOMA 2.4L T24 / DODGE DURANGO 3.6L 5.7L 6.4L / JEEP GRAND CHEROKEE 3.6L 5.7L 6.4L / MITSUBISHI L200 2.4 DI-D 2015	MK-20608	49430
17801-77050	17801-77050	FILTRO AIRE MOTOR TOYOTA CAMRY 2.0L M20 2.5L A25 A25-AFXS - COROLLA 1.5L M15A 1.6L 1ZRFE 1.8L 2ZRFE 2.0L M20A-FKS - COROLLA ALTIS 1.5L 1.6L 2.0L -  AVALON 2.5L A25A - COROLLA CROSS 1.8L 2.0L M20A-FKS - HIGHLANDER RAV4 SIENNA VENZA 2.5L A25A-FXS / LEXUS ES 300H - LM 350H - NX 350H 400H 450H - RX 350H 450H - UX 200 2.0 M20A-FKS	MK-77050	WA10807
17801-15060	17801-15060	FILTRO AIRE MOTOR TOYOTA COROLLA 1.6L  4AF ARAYA - SKY - BABY CAMRY CARBURADO	MK-6544	
17801-0D020	17801-0D020	FILTRO AIRE MOTOR TOYOTA COROLLA 1.6L 3ZZFE 1.8L 1ZZFE / SUBARU BZR 2.0L FA20C 2017-2021	MK-9482	46834
17801-02030	17801-02030	FILTRO AIRE MOTOR TOYOTA COROLLA 1.6L 4AFE 1.8L 7AFE	MK-5466	46273
17801-0D060	17801-0D060	FILTRO AIRE MOTOR TOYOTA COROLLA 1.8L 2ZR-FE 2009-2014 - YARIS BELTA 1.5L 1NZFE 1.6L 2NZFE	MK-21050	
17801-21060	17801-21060	FILTRO AIRE MOTOR TOYOTA COROLLA 1.8L 2ZR-FXE 2022-UP 	MK-21060	WA9787
17801-62010	17801-62010	FILTRO AIRE MOTOR TOYOTA HILUX 2.4L 2RZFE - PRADO 3.4L 5VZFE	MK-62010	CA5965
17801-0C010	17801-0C010	FILTRO AIRE MOTOR TOYOTA HILUX 2.7L 2TRFE 06-14	MK-0C010	WA9644
17801-0S010	17801-0S010	FILTRO AIRE MOTOR TOYOTA LANDCRUISER 200 4.5L 1VDFTV 4.6L 1URFE 5.7L 3URFE - RORAIMA 5.7L 3URFE - SEQUOIA 5.7L 3URFE - TUNDRA 4.6L 5.7L 1URFE 3URFE / LEXUS LX 450 460 570	MK-38030	49030
17801-58010	17801-58010	FILTRO AIRE MOTOR TOYOTA MERU 2.7L 3RZFE - DYNA 3.6L 3.7L	MK-58010	42748
17801-31120	17801-31120	FILTRO AIRE MOTOR TOYOTA PREVIA 2.4L - RAV4 2.0L 1AZFE 	MK-83293	CA10169
17801-10030	17801-10030	FILTRO AIRE MOTOR TOYOTA STARLET 1.3L CARBURADO	MK-4940	46183
17801-0P100	17801-0P100	FILTRO AIRE MOTOR TOYOTA TACOMA 3.5L 2GRFKS TUNDRA 4.6L 5.7L 1URFE 3URFE 2007-2021	MK-23100	WA10085
17801-87402	17801-87402	FILTRO AIRE MOTOR TOYOTA TERIOS 1.3L K3VE	MK-87402	
17801-B1010	17801-B1010	FILTRO AIRE MOTOR TOYOTA TERIOS BEGO 08-13	MK-39750	
17801-21030	17801-21030	FILTRO AIRE MOTOR TOYOTA YARIS 1.3L 00-05	MK-9115	46646
036129620D	036129620D	FILTRO AIRE MOTOR VOLKSWAGEN CROSSFOX 1.6L - FOX 1.6L - POLO SEDAN 1.6L - BORA- SPACE FOX FOX - CROSS	MK-9015	CA9015
LFY7-13-ZE0C	LFY7-13-ZE0C	FILTRO CARCAZA BOMBA GASOLINA MAZDA 6		
31945-44000	31945-44000	FILTRO GASOIL KIA PREGIO 2.7L 3.0L / HYUNDAI H-100 / CHEVROLET NKR	MF-4886	33128
1770A321	1770A321	FILTRO GASOIL MITSUBISHI L200 2.4L / TOYOTA HILUX 2.5L 3.0L 1KD 2KD - 4RUNNER - HIACE - TACOMA	MF-16262	WF8429
16403-4KV0A	16403-4KV0A	FILTRO GASOIL NISSAN FRONTIER 2014- DIESEL	MF-60030	
16405-01T70	16405-01T70	FILTRO GASOIL NISSAN FRONTIER D22 (SECUNDARIO)	MF-29882	
16405-02N10	16405-02N10	FILTRO GASOIL PRIMARIO NISSAN FRONTIER ZD30 - TERRANO / TOYOTA DYNA / CHEVROLET LUV DMAX 3.0LT DIESEL	MF-5163	
23390-0L090	23390-0L090	FILTRO GASOIL TOYOTA HILUX (2016-2022) DIESEL  / TOYOTA FORTUNER DIESEL / PRADO DIESEL / HIACE DIESEL 2.4L 2.8L 3.0L	MF-26255	
16403-2SA00	16403-2SA00	FILTRO GASOIL TRAMPA AGUA NISSAN FRONTIER ZD30 - TERRANO / TOYOTA DYNA / CHEVROLET LUV DMAX 3.0LT DIESEL	MF-56040	33138
16400-72L00	16400-72L00	FILTRO GASOLINA  NISSAN SENTRA B13 B14 B15 CURVO - ALTIMA 2.4L 2.5L 	MF-5237	33477
16400-4M405	16400-4M405	FILTRO GASOLINA CARCASA SUMERGIBLE NISSAN X-TRAIL T-30 - ALMERA B10		
96335719	96335719	FILTRO GASOLINA CHERY ARAUCA A1 - X1 - QQ - TIGGO 06-14 / AVEO TODOS - OPTRA - SPARK - EPICA - LANOS - LEGANZA - MATIZ - NUBIRA - TACUMA - LUV 	MF-619	33850
1J0201511A	1J0201511A	FILTRO GASOLINA CHERY ORINOCO 11-18 / VOLKSWAGEN BORA 1.8L 2.0L - GOL 1.8L - GOLF 1.6L 1.8L 2.0L - JETTA 1.8L 2.0L  - NEW BEETLE 2.0L 2.5L - TOUAREG 3.2L / SEAT LEON - TOLEDO / AUDI A3 A4 TT	MF-5870	33521
25055046	25055046	FILTRO GASOLINA CHEVROLET AVALANCHE - CHEYENNE - BLAZER - C10 - CAMARO - CENTURY - GRAND BLAZER Z71 - SILVERADO - TAHOE - JIMNY - SUBURBAN - LUMINA / DAEWOO CIELO - ESPERO - RACER	MF-481	
13253690	13253690	FILTRO GASOLINA CHEVROLET CRUZE - TRAILBLAZER 4.2 5.3 00-08 - ORLANDO - CAPTIVA / HUMMER H2	MF-6397	
15410-65D00	15410-65D00	FILTRO GASOLINA CHEVROLET GRAND VITARA 1.6L G16B - 1.6L 2.0L J20A - 2.5L H25A 	MF-5982	
46416684	46416684	FILTRO GASOLINA FIAT PALIO 1.3 1.4 1.6 1.8 - SIENA 1.3 1.4 1.6 1.8 - STRADA - IDEA - STYLO - BRAVA / DODGE FORZA	MF-1410	WF8152
50015864	50015864	FILTRO GASOLINA FIAT UNO 1.3 97-08 - FIORINO 00-04 1.3 / CHEVROLET  LUV 2.3L 3.2L	MF-5312	33310P
71736104	71736104	FILTRO GASOLINA FIAT UNO 91-99 - PREMIO - REGATA - 131 - 132 - FIORINO - TEMPRA / CHEVROLET CHEVETTE - MONZA / RENAULT R11 - R18 - R5 / VOLKSWAGEN ESCARABAJO - GOL 1.6 - BRASILIA 	MF-2405	33011
R/FG/87	R-FG-87	FILTRO GASOLINA FOCUS 2.0L 01-08	MF-83259	
E3SE9155CB	E3SE9155CB	FILTRO GASOLINA FORD ESCAPE 2.0L 3.0L - TAURUS - F150 - BRONCO 4.9L - CONTINENTAL - CROWN - GRAND MARQUIS - MUSTANG 83-85	MF-800	33097
FOTZ-9155-B	FOTZ-9155-B	FILTRO GASOLINA FORD F150 4.2L 5.0L 5.4L 80-01 - FIESTA 1.6L 01-04 - KA - RANGER 4.0L - F350 65-94 - EXPLORER 4.0L 92-97 - BRONCO 5.0L 92-97 / HAIMA 7 	MF-3521	33296
F89Z-9155-A	F89Z-9155-A	FILTRO GASOLINA FIESTA MAX MOVE POWER - FOCUS - EXPEDITION METALICO	MF-618	33199
FE 0113470	FE-0113470	FILTRO GASOLINA FORD FESTIVA 1.3 CARB / HONDA CIVIC 1.5 1.6 CARB / B2200 2.2 F2E 8 VALV / FJ40 45 55 60 70 75	MF-4455	33204
KB359-20-490	KB359-20-490	FILTRO GASOLINA FORD FESTIVA 1.3 FI / VENIRAUTO TURPIAL	MF-6679	33280
2208 333	2208-333	FILTRO GASOLINA FORD FIESTA MAX MOVE POWER - ECOSPORT 1.6L 2.0L	MF-9292	WF8266
2L2Z-9155-AB	2L2Z-9155-AB	FILTRO GASOLINA FORD FOCUS DURATEC - RANGER 2.3L 05-11 - EXPLORER 4.0 2000 - EXPLORER 4.6 2002 - EXPEDITION 	MF-1036	33424
16010-SM4-A30	16010-SM4-A30	FILTRO GASOLINA HONDA ACCORD 2.2L 92-94 - CIVIC 1.6L 4TA GEN 92-96 FI	MF-6826	33285
16010-ST5-931	16010-ST5-931	FILTRO GASOLINA HONDA ACCORD 94-98 - CIVIC F.I 1.5L 1.6L 1.7L 5TA 6TA 7MA  GEN 96-06 - CR-V - INTEGRA 96-99 - LEGEND 99-03 - ODYSSEY 	MF-7599	
319111-22000	319111-22000	FILTRO GASOLINA HYUNDAI ACCENT 1.3L 1.5L / DODGE BRISA 1.3L 	MF-9305	33461
MB052676	MB052676	FILTRO GASOLINA HYUNDAI EXCEL / MITSUBISHI LANCER 1.3L 1.5L CARBURADO - SPACE WAGON 1.8L 2.4L	MF-3442	33087
31911-3A000	31911-3A000	FILTRO GASOLINA HYUNDAI SANTA FE 2.7L 01-06	MF-5561	
31911-4D600	31911-4D600	FILTRO GASOLINA HYUNDAI SEDONA 3.8L		
16010-S5A-930	16010-S5A-930	FILTRO GASOLINA INTERNO HONDA CIVIC 7MA GEN 00-06		
17048-SNA-010	17048-SNA-010	FILTRO GASOLINA INTERNO HONDA CIVIC 8VA GEN EMOTION 06-11		
16010-SAA-000	16010-SAA-000	FILTRO GASOLINA INTERNO HONDA FIT 03-08		
17048-TF0-000	17048-TF0-000	FILTRO GASOLINA INTERNO HONDA FIT 07-16		
52100402AE	52100402AE	FILTRO GASOLINA JEEP CHEROKEE LIBERTY KJ KK 3.7 02-15	MF-74058	G8897
52100283AC	52100283AC	FILTRO GASOLINA JEEP GRAND CHEROKEE WJ 4.0 4.7 V8 99-05	MF-283	
33003007	33003007	FILTRO GASOLINA JEEP GRAND CHEROKEE ZJ 5.2LTS V8 93-99	MF-1585	33316
0K30A13480	0K30A13480	FILTRO GASOLINA KIA CARENS 1.6L 2.0L - CERATO 1.6L - RIO 1.3L 1.5L - SEPHIA 1.5L 1.8L - SHUMA - SPECTRA 1.8L	MF-9131	33618
BP01-02-490A	BP01-02-490A	FILTRO GASOLINA MAZDA 626 2.0L -ALEGRO 1.6L 1.8L - DEMIO - MX 3 - PROTEGE / FORD LASER 1.6L 1.8L / KIA SEPHIA 	MF-3525	
GY01-13-ZE0A	GY01-13-ZE0A	FILTRO GASOLINA SUMERGIBLE MAZDA ALLEGRO - 323 - MPV 98 / FORD LASER		
G675-13-480	G675-13-480	FILTRO GASOLINA MAZDA BT50 B2600	MF-85152	
MR204132	MR204132	FILTRO GASOLINA MITSUBISHI LANCER GLX CS3 CS6 - SIGNO 1.3L / TOYOTA CELICA 1.8L 2.2L 	MF-4132	33143
MB504738	MB504738	FILTRO GASOLINA MITSUBISHI MONTERO 3.0L - MONTERO DAKAR 3.0L - L300 2.0L 2.4L - 3000GT / CHEVROLET VITARA 1.6L 97-01 / DODGE STEALTH 3.0L 	MF-9048	33160
MR239580	MR239580	FILTRO GASOLINA MITSUBISHI MONTERO SPORT 3.0L K96W K86W - ECLIPSE - GALANT 2.4L 2.5L - LANCER 1.6L 1.8L 94-99 - MF - MONTERO LIMITED 3.5L 3.8L - MX / TOYOTA CELICA 2.0L - RAV4 97-00 - TERCEL - PASEO / LEXUS ES 300	MF-3541	33502
16400-41B05	16400-41B05	FILTRO GASOLINA PICOS RECTOS NISSAN SENTRA INYECCION B14 - 240SX - N300 - XTRAL - QUEST - PATHFINDER - PATROL - XTERRA - FRONTIER 2.4 / FIAT TEMPRA / CHANA PICKUP / GREAT WALL CUV HOVER / ISUZU RODEO / CHERY GRAND TIGER 4X4 / CHANA PICKUP / INFINITY Q20 Q45	MF-4777	33023
7700845961	7700845961	FILTRO GASOLINA RENAILT CLIO - LOGAN - SCENIC - MEGANE - SYMBOL - TWINGO - KANGOO / PEUGEOT 206 - 207 - 307 - 607 / VENIRAUTO CENTAURO / CITROEN BERLINGO - C2 - C3 - C5	MF-5857	
0K52Y-20-490	0K52Y-20-490	FILTRO GASOLINA SEDONA 3.5L 		
12468679	12468679	FILTRO GASOLINA SUMERGIBLE CHEVROLET SILVERADO 5.3 07-15/TAHOE 5.3 08-14 (TAPA PLASTICA)/AVALANCHE		
0191770A	0191770A	FILTRO GASOLINA SUMERGIBLE DODGE CALIBER 2.0L - JOURNEY / JEEP COMPASS 2.4L / FORD FUSION 3.0 L		ITF003
31112-1G500	31112-1G500	FILTRO GASOLINA SUMERGIBLE HUYNDAI ACCENT 1.6L / KIA RIO 1.6L 	MF-55152	
31911-2D000	31911-2D000	FILTRO GASOLINA SUMERGIBLE HYUNDAI ELANTRA 2.0L 	MF-2D000	
31112-1C000	31112-1C000	FILTRO GASOLINA SUMERGIBLE HYUNDAI GETZ 1.3L 1.6L / DODGE BRISA	MF-44188	
31911-38204	31911-38204	FILTRO GASOLINA SUMERGIBLE HYUNDAI H-1 07 - SONATA 2005 		
31910-2H000	31910-2H000	FILTRO GASOLINA SUMERGIBLE HYUNDAI H-1 09 / NEW CARENS	MF-74334	
31112-2B000	31112-2B000	FILTRO GASOLINA SUMERGIBLE HYUNDAI SANTA FE 2.7L 06-09		
31112-C9000	31112-C9000	FILTRO GASOLINA SUMERGIBLE HYUNDAI SANTA FE 3.5L 2018-UP - PALISADE 2018-UP / KIA CARNIVAL 3.3L 2014-2021 - SORENTO 2.4L 3.3L 3.5L 2014-2020 - TUCSON IX35	MF-53271	
31911-09000	31911-09000	FILTRO GASOLINA SUMERGIBLE HYUNDAI SONATA 3.3L 06-09 -AZERA 3.3L 		
31911-2E000	31911-2E000	FILTRO GASOLINA SUMERGIBLE HYUNDAI TUCSON 2.0L / KIA SPORTAGE 2.0L 2.7L 	MF-83143	
31911-2G000	31911-2G000	FILTRO GASOLINA SUMERGIBLE KIA OPTIMA 2007		
31112-07000	31112-07000	FILTRO GASOLINA SUMERGIBLE KIA PICANTO 05-09	MF-70031	
ZY08-13-35XF	ZY08-13-35XF	FILTRO GASOLINA SUMERGIBLE MAZDA 3 1.6L 2.0L / FORD FOCUS 2.0L 09-11		
MR552781	MR552781	FILTRO GASOLINA SUMERGIBLE MITSUBISHI LANCER GLX CS3 CS6		
MR529135	MR529135	FILTRO GASOLINA SUMERGIBLE MITSUBISHI MONTERO LIMITED 3.5L 3.8L 		
1770A046	1770A046	FILTRO GASOLINA SUMERGIBLE MITSUBISHI MONTERO SPORT CW6		
17040-95F0B	17040-95F0B	FILTRO GASOLINA SUMERGIBLE NISSAN ALMERA B10 1.6L		
16400-2Y505	16400-2Y505	FILTRO GASOLINA SUMERGIBLE NISSAN XTRAIL 2.5 QR25DE T30 (TANQUE)		
23300-50120	23300-50120	FILTRO GASOLINA SUMERGIBLE TOYOTA 4RUNNER 2003-2008 1GRFE		
23300-35070	23300-35070	FILTRO GASOLINA SUMERGIBLE TOYOTA 4RUNNER 2009-2020 1GRFE		
23300-21030	23300-21030	FILTRO GASOLINA SUMERGIBLE TOYOTA COROLLA 09-14 2ZRFE / YARIS 2006-2009	MF-91284	
23300-21010	23300-21010	FILTRO GASOLINA SUMERGIBLE TOYOTA COROLLA 1.6L 3ZZFE 1.8L 1ZZFE - PREVIA 2.4L 06-09	MF-21010	
23300-23030	23300-23030	FILTRO GASOLINA SUMERGIBLE TOYOTA YARIS 1.3L 00-05 - RAV4 2.0L 1AZFE 01-03	MF-23030	
23300-31100	23300-31100	FILTRO GASOLINA TOYOTA 4RUNNER 1GR-FE - FJ CRUISER 	MF-31100	
23300-75140	23300-75140	FILTRO GASOLINA TOYOTA 4RUNNER 2009-2020 - FORTUNER 1GRFE - KAVAK 1GRFE	MF-41570	
23300-65010	23300-65010	FILTRO GASOLINA TOYOTA 4RUNNER 3.0L 3VZFE 3.4L 5VZFE - PRADO 5VZ - TUNDRA 5VZ / HYUNDAI H-1 06-09 - GALLOPER - SONATA 2.0L 2.4L 2.5L 3.0L / KIA OPTIMA 2.4L 2.5L 2.7L / LEXUS LS 400 - SC 300 400 	MF-6680	33319
23300-19145	23300-19145	FILTRO GASOLINA TOYOTA COROLLA 1.6L 4AFE 1.8L 7AFE	MF-9145	33294
23300-15010	23300-15010	FILTRO GASOLINA TOYOTA COROLLA ARAYA 4A-F / SKY CARBURADO / STARLET / BABY CAMRY CARBURADO / HILUX 22R	MF-5010	
23300-75010	23300-75010	FILTRO GASOLINA TOYOTA HILUX 2.4L 2RZFE FI 00-05	MF-75110	
23300-43020	23300-43020-23300-69045	FILTRO GASOLINA TOYOTA MACHITO 4500 1FZFE - AUTANA 4500 1FZFE	MF-6040	33563
23300-66050	23300-66050	FILTRO GASOLINA TOYOTA MACHO/HEMBRA FZJ71 FZJ78 4500 1FZ-FE	MF-6050	
23300-75080	23300-75080-79525	FILTRO GASOLINA TOYOTA MERU 2.7 3RZFE	MF-94925	33686
17BY094032N	17BY094032N	FILTRO PILA GASOLINA JEEP CHEROKEE KK	YFBGW2201	
GY01-13-ZE0	GY01-13-ZE0	FILTRO GASOLINA SUMERGIBLE MAZDA ALLEGRO -323 - MPV 98 / FORD LASER		
15650-38020	15650-38020	PORTA FILTRO ACEITE TOYOTA 4RUNNER 1GRFE 2DA. GEN - FJ CRUISER - PRADO *TAPA*		
15620-37010	15620-37010	PORTA FILTRO ACEITE TOYOTA COROLLA 15-20		
15620-38010	15620-38010	PORTA FILTRO ACEITE TOYOTA TUNDRA - SEQUOIA - RORAIMA 5.7L 3URFE		
17040-ED80A	17040-ED80A	TAPA FILTRO ELEMENTO INTERNO GASOLINA NISSAN TIIDA 2007-2012		
